State,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,
Initial,1.47882861353675E-11,1.63698190500433E-16,9.55156693445431E-16,8.80098712853673E-09,1.97786931029994E-14,5.13955738788789E-09,0.0028821983946117,1.02034881348419E-05,6.27752752956876E-52,2.94088948669411E-07,0.000198399453648806,7.80455648122215E-07,2.12163653434385E-10,5.51755174439705E-16,6.36559951139344E-35,2.34082673581473E-08,5.58800389669246E-08,1.93573030671426E-24,7.65916300957407E-13,0.0418677868643473,1.87065957541415E-10,1.40325895320761E-16,6.36696061686584E-13,2.47325559337984E-06,0.00014425476244567,2.01419399371017E-14,0.000101553576380935,0.000465443506647733,0.000154694587940266,0.125385492019572,0.000827612978194779,3.09523201847683E-05,0.00069591353739802,5.61449975310007E-08,8.11910177298284E-06,0.000349677427952054,9.54929108661898E-37,2.36654642589486E-16,8.62858745196492E-06,2.7768010861891E-54,1.81367197118003E-06,1.71257158245133E-10,4.07977932488615E-25,0.0650062422331057,0.385717888115108,4.18235941073103E-06,3.3598382027422E-14,0.114156889765265,4.608409108834E-29,2.13985700044852E-18,8.79164608238586E-10,3.87374001706178E-59,7.57678351683835E-34,0.000144633879667175,4.22221032605822E-19,2.5741284940245E-36,4.32538637736479E-36,1.7166450542992E-06,7.929751054381E-36,0.261832004083779,
Transitions,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,
0,9.76477985998656E-06,0.00250058085796644,2.64720699197305E-07,0.00139516883642996,0.000196557492315718,0.000107994169703185,0.0329829700997477,0.0114133609991813,0.00903154028282048,0.0228253246075339,7.16507700092167E-05,8.29743081248119E-06,9.24294688432518E-05,0.000182996540206078,0.00159833307695812,0.000355641237507555,2.1731733819917E-05,0.00640809583582171,8.49204183789759E-07,0.000454464787962033,0.0135757597028642,0.0267038001625189,1.07974155350233E-08,0.00017316693015118,0.00012735556362531,1.89216626775005E-05,0.0110177006597386,0.0995610956734395,0.00256441057247934,0.515983943731301,4.11222579668825E-05,0.000164202158063991,0.00602854035115907,8.0179067273448E-07,0.0386773806686851,0.00259685304862759,8.60084167683696E-06,0.00147125762852514,0.00202358786272292,0.0135870237801268,0.000620099270073114,0.000288347114555033,0.0299242927487809,0.134738589248893,1.92628557904526E-06,2.52238516622698E-05,0.000130496080213278,0.00259875772638582,0.00406579509359804,1.22208097175591E-09,4.54673149402336E-07,0.000278333870215986,0.00123910813284207,0.0012741084932159,0.000555139751627985,0.000954057469292312,0.112661225374498,0.000120270791705815,0.0218149945491828,0.00778164990629808,
1,0.000108621515120722,0.000454448773907198,3.07275079296538E-05,0.00895310750663719,0.0021586164591971,0.000108771059219503,0.0154584748932303,8.52334871297629E-06,0.0002005321401634,0.00257930408856524,6.77423408082877E-05,0.00686260512098645,0.00190620007292292,0.00106281173311681,4.19256288989441E-05,0.000102046306622553,0.000928016885073805,6.06587507671672E-05,0.0273700427967359,7.81128783598353E-06,0.00163036628833808,0.0978038819553701,4.36321515392638E-06,0.000205703477564078,6.47640274567869E-06,0.000100593367418385,7.40440706364279E-06,0.000974347756791155,0.0056684458061811,0.00138904701026805,8.72894408853344E-05,7.83310438192544E-05,0.00521103916197203,0.089058052026514,0.00120747972134253,0.00100511033242155,0.000626555967509575,0.00156703444748646,0.00145790845778677,8.01786812400969E-06,1.0227287337695E-05,5.31083103181658E-06,0.000874395284496374,0.0645270465939642,0.000314918546323613,3.91111330462955E-05,0.0068798884146119,5.51660605556054E-05,0.00112328829277962,7.11036066815664E-07,7.01353869615914E-05,1.5861238992179E-06,0.000566488986372924,0.000565414024832869,0.000796323822211361,0.000121551507500768,0.000317279282238595,0.0570790413347276,5.94172390373293E-05,0.0199827956026992,
2,0.00136463467657873,1.19978452732836E-05,1.83131930453727E-05,0.00631485568150738,0.000753354684788909,0.00138550821473771,0.0321638634623984,2.43569925584194E-06,0.00366997835891315,0.000226386543504722,2.06465190288077E-05,0.000184474382782488,0.0012842343211619,0.0463193703501789,0.00120421105000557,0.0126827754026995,1.08916257831678E-05,0.052676680819257,1.83386029128544E-06,1.92628777619091E-05,0.00353543723860458,0.0484982537085945,0.000152753919358245,0.111815574738373,0.0183410746421336,0.00111841195412348,0.000330004713014123,0.023060822937035,0.001110375588795,0.00453847747297033,0.000436040774488859,0.00138480774038158,0.00302871886331421,0.00147026084123954,3.49435147734182E-05,0.0151534290906108,5.04012102182723E-10,0.161407220568178,0.0057902341683168,1.02950355241124E-05,8.13248799632502E-08,3.12655575856493E-06,2.24974558815706E-05,0.154370411875785,0.00475725020086027,0.00217108919023138,0.0763993167038945,2.12656589005493E-06,0.059901392012907,0.000225401701727496,0.0145763676290304,3.45999737789792E-05,0.034831078724892,0.0533846491509236,0.0689443487901689,0.000802291722111107,5.54922345838735E-05,2.74226488491318E-09,0.0108993638717948,0.0619696471081154,
3,0.000124805394311156,0.00336110125235761,0.00084978874631728,0.0270956022139473,0.00365940039131065,0.00927700495412698,0.0318647018316795,0.00520396560454473,0.00615551127209051,0.0427111103087386,0.0016917456975686,0.281352874633315,0.000887385165636967,0.000103314221487957,0.0262365181595599,0.00145442588993382,0.00089846057185307,0.000871701642573076,0.0775327318932687,2.63014524262801E-05,0.00354771046411907,0.00251781548786839,0.000141669687781118,0.00194724366106485,0.000571642779312772,0.000373549419861091,0.00930803869714689,0.00297912153895269,0.0143698823195352,0.000258426788408509,0.000611551398391912,0.00114957883152628,0.000320556763327622,0.0229060416368379,0.0297239546871869,0.000725963802157324,0.000156401787784318,4.87550263476494E-05,4.14980574484264E-05,2.71161004081633E-05,6.18831336501407E-05,0.000591450336171984,0.000707086862292866,0.000218308199134228,1.00601247829429E-07,0.00125320341129555,8.00193701431238E-05,0.0124298899866228,7.76924190506864E-05,7.41296659781265E-05,3.67410217477424E-05,0.000270210634590422,0.00217251773845761,0.0140782982122333,0.000774159544640096,0.000780280802548149,0.000658635998307746,1.82348311305705E-05,0.000363208841460179,5.06042719194914E-05,
4,1.23921809875523E-07,0.0144211399274619,5.72807751816355E-06,0.0144964155776721,0.000434397206362802,0.00056231381070884,0.0143283251144555,0.000314554409250053,0.0130594753169815,0.0181735381940571,4.48440939847388E-05,0.00066146699793451,7.44126738215575E-08,0.0108984051613323,0.000151628332889384,0.0166500847037385,0.0403901657857044,0.000356180748202145,8.90727313236456E-05,2.07552634403902E-06,0.000685334872165575,0.00435051364678263,3.79055681693459E-06,0.00106417936376726,2.04474285931391E-05,8.38412272005685E-06,0.000317509274076564,8.05058699667871E-06,0.0270938233726923,1.54306874371968E-06,0.000793679111006825,0.00405695607898272,0.014535246421564,8.73427334975517E-06,0.0148828628222829,0.00217876035936292,0.0450098925870747,0.186002779676496,0.00682223675355754,0.00788196751031004,0.00665431620843226,0.000440169549513643,0.00993651902092586,0.00235418258182241,6.73114728188426E-05,0.000128650659370934,3.76020640461176E-05,4.58776801701153E-07,0.0146471358003303,7.42071457534526E-07,2.55129264411471E-06,0.0223342766086043,0.00473067147239459,5.80225340052336E-05,0.0204654960929331,0.0415747813591178,0.00946183336459688,0.0383919537583118,0.0384250346559079,0.0122247215353723,
5,4.66928995161434E-05,0.000185301344219553,0.000297883474123676,0.00125030513100592,1.7961512543281E-05,9.49679804357372E-05,0.00103550313712675,0.000249666160400113,0.0524994059281209,0.0104597654833231,0.00156504951283058,0.0278527813612796,0.00512447365689191,0.0011613703684424,0.0204464894822971,0.00378717195874213,0.000132612213002384,0.00244753341019268,0.00751684309965686,0.00784194449151126,0.19165603511873,0.0255859287765891,0.000306795974118648,0.171740865640197,0.000960229687902848,0.000139948752531781,0.00734102618537233,0.000320397415301662,0.00806987845566554,0.030722411668525,0.000218779341787665,0.0426949708203714,0.00185977588424717,0.000134528422299649,0.000753382163352074,0.00619580245296105,0.000235685938679562,0.000152024826722205,9.90002532040278E-05,0.00296343865934384,0.000102823265979765,0.0117599719220747,0.00907701603186579,0.00266934349108725,0.00577368521641231,0.0041291488248158,0.000332704128717323,0.0189626422386729,0.0170350538381426,0.177875576897222,0.000124638303353293,0.000174733394288252,0.0174234306782473,0.000808505813472432,0.0104191689475072,0.0250689518382143,0.00406739893927386,9.82435890129354E-05,0.000951823742957761,8.81817563048227E-05,
6,3.75254209671951E-06,0.000116936349915306,0.00547683103436169,0.00491525729341649,4.57107534617503E-06,0.000143310171072314,2.97156865907598E-06,0.000207883701387778,0.00140818630074206,0.00703845316747003,0.000421344255886564,0.00478696901671412,0.000367714425404694,0.00503178774783525,0.00213822067001714,0.000656553263645513,0.00630878716410344,0.0014184005237247,4.86121604359044E-06,0.00239676766037707,0.00100426707897677,4.70337649318715E-06,0.00261205957913385,0.269325160350538,0.00494939010785419,6.49990840043391E-05,0.0110090927552544,0.000852272523632796,0.00126457185645827,0.000548206224586452,2.38239424129914E-05,0.0112028689318798,0.00243936548641819,1.49085697470707E-06,0.000593425491709724,0.00510902014856485,0.00124722557611861,0.000115251013162839,0.00369819824826936,0.00783942895234441,8.41717053486659E-05,0.27782702461969,0.00246852431598031,0.000604494272154382,1.22218669433786E-08,0.0263852039483214,5.85389090722286E-06,0.0230678951567977,6.47524738684008E-06,0.000640774258417262,1.89094557364333E-05,0.000436286960698809,0.000853341414945551,0.000926476785937382,0.00182153766049793,0.0163625825152756,9.6175132199278E-05,1.10903814781292E-05,0.000119762347516702,1.20300940400897E-05,
7,6.19081091553966E-07,6.0381425695201E-05,0.0010582184594111,0.00392445283320469,0.000121305438633584,0.00691776984998074,0.0234164993940928,0.0636061301699506,0.0725937830828974,0.0241579100651629,0.02708384052392,0.0306074203558921,5.03963177854012E-05,0.000693209008319035,0.0398397037746966,0.00449224558844042,0.000202249589475723,0.00827550182724057,0.148520036923123,0.000617387233571519,0.0809432028210723,0.0199526263493223,0.000290466038544025,0.0303262138719084,0.22531790396165,4.04326616091987E-07,0.00643476320801302,0.0015044715024293,0.0342941312900685,0.000725164285180136,4.29278800251152E-05,0.0635303402903215,0.0040896725394724,9.64448697550755E-06,0.0115680604471177,0.00230810974185784,0.564704041369258,0.000669790062022559,0.000360311019510259,0.00611381717794798,0.000389432104291309,0.0201831306506007,0.00101059514137836,0.00025472534034804,0.000369410591330626,0.501203017622306,2.9161769093885E-06,0.0536582653257977,0.0241061660806337,7.87869883051558E-07,0.000187690372826528,0.406851731423519,0.00394745956227313,0.00108099641272748,0.000731930437675355,0.0923060954815051,0.0612898182687199,2.97255563160494E-05,0.000960986223875936,0.000114871748562448,
