Iteration,Median Score,Average Score,Median Time,Average Time,
0,71341.9018573181,71332.3171645666,0.436,0.48325
1,71219.7879132424,71223.641963312,2.4495,2.29125
2,71233.5343735378,71248.5380026027,5.0195,5.0615
3,71308.6070455695,71337.9327575046,7.674,6.93
4,71249.0301046328,71262.8027514363,14.082,13.519
5,71248.6094062701,71241.7531203936,20.0015,20.01375
6,71356.5792527441,71345.7056495529,17.845,18.94125
7,71301.0716935016,71296.6280268456,28.7815,28.89325
8,71276.5512531159,71278.7474357535,44.2645,44.16125
9,71277.7374355491,71280.517501178,50.925,51.113
