Dataset	States	BW	SBW	GE
1	10	70551.70644	70567.54224	72393.98578
1	20	69013.07292	69680.76176	70749.99291
1	30	68885.4879	68784.07939	69633.02615
1	40	67461.44645	68669.60381	69017.34666
1	50	67767.34199	68398.6465	68765.95805
1	60	66667.97315	68168.04852	68405.21681
1	70	66438.79222	67867.31357	68037.87379
1	80	66397.38177	67577.91889	67836.91858
1	90	66178.97423	67735.98407	67746.76477
1	100	65783.16647	67577.65578	67700.70543
