States	BW_2	VIT_2
40	03.04915769056388000000	28.79358810480890000000
50	03.33549981682997000000	32.68045230107280000000
60	03.73677397032338000000	34.26518904754070000000
70	03.99502880362199000000	36.51377971702680000000
80	04.40463193420187000000	37.60799347068280000000
90	04.61964971137500000000	37.85887670797080000000
100	04.71576270971628000000	38.00286909030680000000
