Dataset	States	BW	SBW	GE
41	10	68087.66	67266.63952	67513.94512
41	20	68082.22	67250.821	67346.67802
41	30	68064.46	67263.93742	67262.46835
41	40	68066.02	67281.089	67220.70825
41	43	68061.919	67270.88744	67214.58047
41	50	68052.35	67247.08378	nan
41	60	68045.6	67244.96316	nan
41	70	68047.74	67660.01561	nan
41	80	68048.32	67755.16603	nan
41	90	68046.82	67898.17604	nan
41	100	68051.05	67844.90604	nan
