States, Likelihood
2, -229067.855051906
3, -218568.571526892
4, -210852.524816485
5, -209766.884382383
6, -208686.077156509
7, -207835.785589791
8, -207664.763202036
9, -207239.55220939
10, -206645.361673754
11, -206245.056083127
12, -205153.626703732
13, -204681.740943653
14, -204092.994448067
15, -203950.517683568
16, -203834.482299668
17, -203747.951717144
18, -203744.25751627
19, -203688.746307517
20, -203199.838622114
