States, Likelihood
2, -216311.877903794
3, -213823.425817762
4, -213510.767290908
5, -210733.134537072
6, -209585.21958994
7, -207431.399591573
8, -206119.22988829
9, -204882.011770421
10, -204420.693471982
11, -204021.964277169
12, -203235.193281729
13, -202971.371663188
14, -202589.264446274
15, -202318.18795241
16, -202271.350387259
17, -202124.818248424
18, -201792.369867208
19, -201692.798429626
20, -201066.423768968
21, -200972.668044827
22, -200675.462983621
