States, Likelihood
2, -236962.194111571
3, -219694.903459002
4, -210063.0526001
5, -208879.584373683
6, -208807.654388667
7, -207979.165771316
8, -206731.356888717
9, -205989.153180791
10, -205790.586773645
11, -205766.189605965
12, -205544.704851019
13, -205235.373745079
14, -204946.921788372
15, -204944.569084356
16, -204130.000722968
17, -204090.402101928
18, -203216.315020884
