States, Likelihood
2, -223958.224498821
3, -222102.642481939
4, -211157.018332958
5, -208021.42577698
6, -207371.522153176
7, -207090.7649159
8, -206650.112904735
9, -204933.650826746
10, -202528.180014285
11, -202520.852078375
12, -202215.38670788
13, -202189.003263116
14, -201419.856887714
15, -201254.771101382
16, -201218.202334172
17, -201037.527892966
18, -200915.055838738
19, -200760.604915507
20, -200730.71631725
21, -200423.194082184
22, -199898.426448064
23, -199621.525895444
