Iteration,Run,Score,Time,Ticks,
0,0,91010.3253471854,134.742,315021231,
1,0,78244.5550732811,530.741,1240845472,
2,0,72249.1149737307,1056.94,2471072584,
3,0,72409.262496934,2204.593,5154226778,
4,0,70136.347454949,2273.736,5315880163,
5,0,69612.6134059557,4746.595,11097297318,
6,0,69620.1825768884,4903.847,11464944294,
7,0,69347.0761155419,5895.817,13784121032,
8,0,69978.7122183719,7013.679,16397625320,
