Iteration,Run,Score,Time,Ticks,
0,0,68613.2181187908,10.455,30551778,
1,0,68702.0037428793,24.652,72034379,
2,0,68595.6600146771,80.78,236043927,
3,0,68650.6632093729,105.77,309065336,
4,0,68643.7937972428,181.316,529816451,
5,0,68660.9530630591,233.913,683505765,
6,0,68647.6705472401,320.005,935072821,
7,0,68642.1845857244,455.189,1330086649,
8,0,68623.2179819565,517.001,1510705224,
9,0,68648.6721899634,637.017,1861396898,
